,Country,City,Lat,Lng,Hotel Name
277,CA,kenora,49.82,-94.43,Hidden Trail Resort
278,LK,hambantota,6.12,81.12,The Bungalow Hambantota
279,PH,caruray,10.31,119.01,
280,LY,sabha,27.04,14.43,فندق أفريقيا
281,RU,krasnovka,48.82,40.09,
282,TH,ranong,9.97,98.63,เดอะบลูสกาย รีสอร์ท ระนอง
283,BR,bethlehem,-1.46,-48.5,ibis budget Belem
284,RU,dudinka,69.41,86.18,Hotel Viktoria
285,RU,berezovyy,51.67,135.7,Gostinitsa U Sergeyevny P. Berezovyy
286,RU,kuznechnoye,61.12,29.87,Drive Park Ladoga
287,US,woodward,36.43,-99.39,Hampton Inn & Suites Woodward
288,LK,kalmunai,7.42,81.82,LUXEZ garden house
289,BR,camocim,-2.9,-40.84,Villa del Mar Praia Hotel
290,RU,yar-sale,66.83,70.83,Gostinitsa Po Domashnemu
291,BR,sao paulo de olivenca,-3.38,-68.87,
292,NO,ovre ardal,61.32,7.8,Sitla Motel & Apartment
293,PH,basco,20.45,121.97,Villa de Babat
294,US,pacific grove,36.62,-121.92,Lighthouse Lodge & Cottages
295,US,nome,64.5,-165.41,Nome Nugget Inn
296,BR,maraa,-1.83,-65.37,
297,PG,kavieng,-2.57,150.8,Nusa Island Retreat
298,ZA,east london,-33.02,27.91,Premier Hotels & Resorts
299,DE,trier,49.76,6.64,"Hotel ""Berghotel Kockelsberg"""
300,BR,santa maria,-29.68,-53.81,Itaimbé Palace
301,IT,lasa,46.62,10.7,Untertelshof
302,AU,burnie,-41.07,145.92,Beach Hotel Burnie
303,MG,beroroha,-21.67,45.17,
304,RU,cherskiy,68.75,161.3,
305,US,makakilo city,21.35,-158.09,Marriott's Ko Olina Beach Club
306,US,port hueneme,34.15,-119.2,Embassy Suites by Hilton Mandalay Beach Resort
307,AU,kununurra,-15.77,128.73,Hotel Kununurra
308,RU,karagaylinskiy,54.17,86.55,
309,NL,wageningen,51.97,5.67,Fletcher Hotel-Restaurant De Wageningsche Berg
310,TZ,monduli,-3.3,36.45,Monduli Lutheran Youth Hostel
311,RU,sharya,58.37,45.51,Hotel Tikhiy Ugolok
312,CA,inuvik,68.35,-133.72,Mackenzie Hotel
313,US,fairbanks,64.84,-147.72,Westmark Fairbanks Hotel & Conference Center
314,EG,suez,29.97,32.53,Green House
315,US,kirksville,40.19,-92.58,Hampton Inn Kirksville
316,MY,george town,5.41,100.34,The Gurney Resort Hotel and Residences
317,BR,piacabucu,-10.41,-36.43,Pousada Raizes
318,CA,torbay,47.67,-52.73,
319,CA,iqaluit,63.75,-68.51,Accommodations By The Sea
320,PG,lorengau,-2.02,147.27,Seeadler Bay Hotel
321,MU,grand gaube,-20.01,57.66,Zilwa Attitude Hotel
322,PA,palmas bellas,9.23,-80.09,
323,FR,gourdon,44.75,1.5,Manoir la barriere
324,CN,aksu,41.12,80.26,Pudong Holiday Hotel
325,RU,nizhneangarsk,55.78,109.55,Guest House on Okhotnika 68A
326,FR,perigueux,45.18,0.72,Château des Reynats
327,US,kahului,20.89,-156.47,Maui Beach Hotel
328,AU,devonport,-41.17,146.35,Formby Hotel
329,PT,vila,42.03,-8.16,Moinho do Poço Verde
330,US,kenai,60.55,-151.26,Aspen Extended Stay Suites
331,GL,ilulissat,69.22,-51.1,Hotel Arctic
332,US,mount vernon,40.91,-73.84,Radisson Hotel New Rochelle
333,RU,severo-yeniseyskiy,60.37,93.04,Gostinyy Dvor Estel' Miniotel' V Severo-Yeniseyske
334,MU,cap malheureux,-19.98,57.61,Zilwa Attitude Hotel
335,SS,maridi,4.92,29.47,
336,GB,brae,60.4,-1.35,Busta House Hotel
337,OM,salalah,17.02,54.09,Salalah Gardens Hotel
338,BR,trairi,-3.28,-39.27,Rede Beach: Hotel em Guajiru
339,MU,mahebourg,-20.41,57.7,Shandrani Beachcomber Resort & Spa
340,GB,portree,57.41,-6.19,Cuillin Hills Hotel
341,TR,izmir,38.46,27.09,DoubleTree by Hilton Hotel Izmir - Alsancak
342,BR,gandu,-13.74,-39.49,Hotel Fluminense
343,SB,auki,-8.77,160.7,Auki Lodge
344,NZ,opunake,-39.46,173.86,Headlands Hotel
345,GF,cayenne,4.93,-52.33,Royal Amazonia
346,IL,gat,31.61,34.76,Desert Gat
347,RO,asau,46.43,26.4,Pensiunea Sophia
348,MX,ixtapa,20.7,-105.2,Flamingo Vallarta Hotel & Marina
349,MG,sambava,-14.27,50.17,Carrefour
350,US,troy,42.61,-83.15,Embassy Suites by Hilton Detroit Troy Auburn Hills
351,ID,meulaboh,4.14,96.13,Hotel Meuligoe
352,US,avera,33.19,-82.53,
353,CN,genhe,50.78,121.52,Blueberry Town Theme Hotel
354,BR,itaituba,-4.28,-55.98,Hotel Açaí
355,RU,ust-omchug,61.15,149.63,Hotel Ust-Omchug
356,IR,golpayegan,33.45,50.29,باغ پدری خاندان نوری
357,MM,lashio,22.93,97.75,Mansu Hotel
358,US,bay city,43.59,-83.89,DoubleTree by Hilton Hotel Bay City - Riverfront
359,BR,piranhas,-16.43,-51.82,Tropical Palace Hotel
360,SR,brokopondo,4.75,-55.17,Matu Island
361,US,rapid valley,44.06,-103.15,Grand Gateway Hotel
362,US,half moon bay,37.46,-122.43,Beach House - Half Moon Bay
363,CA,whitehorse,60.72,-135.05,Days Inn by Wyndham Whitehorse
364,DE,heiligenhafen,54.37,10.98,Beach Motel Heiligenhafen
365,BR,sao joao da barra,-21.64,-41.05,Pousada Cassino
366,AR,tres arroyos,-38.37,-60.28,Elegance Hotel Tres Arroyos
367,ML,kayes,14.0,-11.0,
368,RU,suntar,62.14,117.63,Gostevoy Dom
369,RU,omsukchan,62.53,155.8,
370,ID,merauke,-8.47,140.33,
371,MX,empalme,27.97,-110.82,Motel El Nido
372,US,centerville,39.63,-84.16,Holiday Inn Express & Suites Dayton South - I-675
373,KZ,zaysan,47.47,84.87,Rahat Hotel
374,US,arcata,40.87,-124.08,Redwood Coast Cabins and RV Resort
375,CA,sept-iles,50.2,-66.38,Château Arnaud
376,GA,port-gentil,-0.72,8.78,Hotel du Parc
377,ET,asosa,10.07,34.53,Bamboo Paradise Hotel
378,US,port jervis,41.38,-74.69,Hampton Inn Matamoras/Milford
379,GY,mabaruma,8.2,-59.78,
380,US,price,39.6,-110.81,Ramada by Wyndham Price
381,ET,sebeta,8.92,38.62,
382,NC,poum,-20.23,164.02,
383,RU,livenka,50.45,38.3,
384,BW,mookane,-23.69,26.66,
385,CA,peachland,49.77,-119.74,CherieBz B&B
386,CA,bonavista,48.65,-53.11,Lancaster Inn
387,MY,kota belud,6.35,116.43,Fort Hill Bed & Breakfast
388,IN,port blair,11.67,92.75,Sinclairs Bayview Port Blair
389,PG,lae,-6.72,146.98,"Huon Gulf Hotel, Lae, Papua New Guinea"
390,CA,chapais,49.78,-74.85,Hôtel Opémiska
391,SE,visby,57.64,18.3,Hotell Slottsbacken
392,LY,benghazi,32.12,20.07,Tibesti Hotel
393,CN,gaomi,36.38,119.75,Fengdu International Hotel
394,US,corpus christi,27.8,-97.4,Omni Corpus Christi Hotel
395,ML,tessalit,20.2,1.01,
396,US,russell,32.35,-85.2,
397,GB,strathpeffer,57.59,-4.54,Coul House Hotel
398,ML,kidal,18.44,1.41,
399,UA,khorol,49.78,33.28,Castle Motel
400,GL,kangaatsiaq,68.31,-53.46,
401,GB,hatfield,51.76,-0.22,Beales Hotel
402,KZ,kurchum,48.57,83.65,
403,US,saint joseph,39.77,-94.85,Holiday Inn Express & Suites St. Joseph
404,TR,carsamba,41.2,36.72,ÇARŞAMBA OTEL PARİS
405,RU,krasnoselkup,65.7,82.47,Krasnosel'kupnefteprodukt
406,PE,iquitos,-3.75,-73.25,DoubleTree by Hilton Iquitos
407,AU,gunnedah,-30.98,150.25,Maynestay Motel
408,RU,anadyr,64.75,177.48,Chukotka hotel
409,AU,coolum beach,-26.53,153.1,The Beach Retreat Coolum
410,RU,demyansk,57.64,32.47,Gostevoy Dom Demyansk
411,CN,juegang,32.32,121.19,莫泰行政中心店
412,GL,nuuk,64.18,-51.72,Hotel Hans Egede
413,SA,riyadh,24.69,46.72,Four Seasons Hotel Riyadh At Kingdom Center
414,US,onalaska,43.88,-91.24,Days Inn by Wyndham La Crosse Conference Center
415,RU,morozovsk,48.35,41.83,Prometey
416,RU,povenets,62.85,34.83,Eko Otel' Bol'shaya Medveditsa
417,LY,tukrah,32.53,20.58,مناحل رمضان رافع لبيع العسل الطبيعي
418,US,mitchell,43.71,-98.03,Kelly Inn & Suites
419,PK,gilgit,35.92,74.31,Gilgit Serena Hotel
420,PH,davila,18.47,120.58,Blue Ridge Beach Resort
421,VN,ca mau,9.18,105.15,Khách Sạn Mường Thanh Luxury Cà Mau
422,,walvis bay,-22.96,14.51,Protea Hotel by Marriott Walvis Bay Pelican Bay
423,ID,atambua,-9.11,124.89,Hotel Timor
424,PH,caditaan,12.81,123.85,
425,RU,ust-nera,64.57,143.2,Gostevoy Dom
426,JP,tateyama,34.98,139.87,花しぶき（満開のおもてなし）
427,RU,slantsy,59.12,28.09,Tsemotel
428,UY,chuy,-33.7,-53.46,Hotel Internacional
429,RU,kargat,55.2,80.28,Kargat
430,GH,takoradi,4.88,-1.76,Protea Hotel by Marriott Takoradi Select
